"Archivo","Lineas"
"src\pages\gestProductos\GestProductos.css","1392"
"src\pages\pedidosVentas\PedidosVentas.jsx","1281"
"src\pages\gestProductos\GestProductos.jsx","1274"
"src\pages\usuarios\Usuarios.jsx","985"
"src\pages\catalogo\Catalogo.css","952"
"src\pages\roles\Roles.css","937"
"src\pages\compras\Compras.jsx","936"
"src\pages\compras\Compras.css","897"
"src\App.css","817"
"src\pages\dashboard\Dashboard.jsx","812"
"src\components\Navbar.css","755"
"src\components\PaymentModal.css","696"
"src\pages\proveedores\Proveedores.css","689"
"src\components\PaymentModal.jsx","632"
"src\pages\catalogo\DetalleProducto.css","624"
"src\pages\clientes\MiCuenta.jsx","611"
"src\pages\proveedores\Proveedores.jsx","595"
"src\pages\pagosAbonos\PagosAbonos.jsx","586"
"src\pages\catalogo\Catalogo.jsx","576"
"src\pages\roles\Roles.jsx","564"
"src\pages\checkout\Checkout.css","555"
"src\pages\colores\Colores.css","553"
"src\pages\categorias\CatProductos.css","553"
"src\pages\pagosAbonos\PagosAbonos.css","549"
"src\pages\clientes\MiCuenta.css","518"
"src\components\OrderDetailModal.css","515"
"src\pages\pedidosVentas\PedidosVentas.css","502"
"src\pages\checkout\Checkout.jsx","496"
"src\components\GestVariantes.jsx","484"
"src\pages\clientes\Clientes.css","445"
"src\pages\dashboard\Dashboard.css","439"
"src\components\GaleriaImagenes.jsx","438"
"src\pages\catalogoAdmin\CatalogoAdmin.jsx","415"
"src\pages\catalogo\DetalleProducto.jsx","411"
"src\components\GestVariantes.css","404"
"src\components\ModalSteps.css","395"
"src\pages\clientes\Clientes.jsx","393"
"src\pages\pedidos\Pedidos.jsx","390"
"src\components\ModalDetalle.css","380"
"src\pages\usuarios\Usuarios.css","374"
"src\pages\sobre-nosotros\SobreNosotros.css","368"
"src\pages\catalogoAdmin\CatalogoAdmin.css","365"
"src\pages\carrito\Carrito.css","362"
"src\pages\accesos\Registro.jsx","350"
"src\components\GaleriaImagenes.css","348"
"src\index.css","327"
"src\components\PublicNavbar.jsx","323"
"src\components\Sidebar.css","320"
"src\pages\accesos\Login.css","317"
"src\pages\colores\Colores.jsx","291"
"src\components\OrderDetailModal.jsx","283"
"src\context\CartContext.jsx","228"
"src\pages\categorias\CatProductos.jsx","227"
"src\pages\accesos\Login.jsx","214"
"src\pages\pedidos\Pedidos.css","210"
"src\pages\carrito\Carrito.jsx","210"
"src\components\ModalSteps.jsx","198"
"src\pages\accesos\RestablecerContrasena.jsx","168"
"src\components\PaymentReceipt.jsx","159"
"src\components\ModalDetalle.jsx","151"
"src\pages\sobre-nosotros\SobreNosotros.jsx","144"
"src\styles\global.css","143"
"src\pages\accesos\RecuperarContrasena.jsx","132"
"src\components\Sidebar.jsx","124"
"src\components\ConfirmModal.css","123"
"src\utils\exportar.js","115"
"src\pages\accesos\Registro.css","114"
"src\components\StatusToggle.css","110"
"src\components\Navbar.jsx","107"
"src\router\AppRouter.jsx","97"
"src\utils\numerico.js","97"
"src\components\StatusToggle.jsx","89"
"src\components\Layout.css","87"
"src\pages\NotFound\NotFound.css","67"
"src\components\ExportButtons.jsx","58"
"src\components\Toast.css","47"
"src\context\ToastContext.jsx","47"
"src\components\Icons.jsx","41"
"src\context\ConfirmContext.jsx","41"
"src\components\ConfirmModal.jsx","39"
"src\context\AuthContext.jsx","37"
"src\components\ProtectedRoute.jsx","36"
"src\components\Toast.jsx","34"
"src\components\ExportButtons.css","33"
"src\services\api.js","31"
"src\components\Layout.jsx","30"
"eslint.config.js","30"
"src\components\PublicLayout.jsx","28"
"src\components\Loader.css","24"
"src\components\PublicLayout.css","18"
"src\pages\NotFound\NotFound.jsx","17"
"src\config\permisos.js","16"
"src\main.jsx","10"
"src\components\Loader.jsx","9"
"vite.config.js","5"
"src\App.jsx","5"
"src\assets\logoBase64.js","2"
